Id,Label,X,Y,Long axis,Short axis,Orientation,Length,Width
lttbsc0r1_sp1,isolated,25.45,151.88,0.75,0.7,90,0,0
lttbsc0r1_sp10,isolated,43.43,146.49,0.67,0.59,90,0,0
lttbsc0r1_sp11,Lamonte,48.38,148.31,0,0,0,4.06,0.64
lttbsc0r1_sp12,isolated,46.37,150.15,0.76,0.59,0,0,0
lttbsc0r1_sp13,connected,33.35,149.55,0.56,0.52,0,2.38,0.47
lttbsc0r1_sp14,isolated,26.64,149.46,0.75,0.71,90,0,0
lttbsc0r1_sp15,isolated,28.37,158.34,0.71,0.69,90,0,0
lttbsc0r1_sp16,Lamonte,27.48,147.57,0,0,0,2.07,0.74
lttbsc0r1_sp17,Lamonte,40.08,156.92,0,0,0,3.68,0.95
lttbsc0r1_sp18,Lamonte,36.44,157.58,0,0,0,3.54,0.51
lttbsc0r1_sp2,Lamonte,47.76,179.49,0,0,0,6.96,0.58
lttbsc0r1_sp3,Lamonte,41.07,173.39,0,0,0,4.97,0.46
lttbsc0r1_sp4,connected,48.03,166.81,0.36,0.3,90,1.55,0.46
lttbsc0r1_sp5,Lamonte,47.13,154.15,0,0,0,1.7,0.62
lttbsc0r1_sp6,Lamonte,44.21,153.16,0,0,0,1.58,0.79
lttbsc0r1_sp7,Lamonte,43.71,151.32,0,0,0,2.8,0.7
lttbsc0r1_sp8,connected,38.51,143.34,0.79,0.75,90,3.52,0.81
lttbsc0r1_sp9,isolated,41.28,146.1,0.73,0.55,90,0,0
lttbsc0r2_sp1,connected,10.98,129.57,0.72,0.69,0,4.63,0.67
lttbsc0r2_sp10,isolated,49.38,125.18,1.23,0.54,112.22,0,0
lttbsc0r2_sp11,connected,51.32,107.55,1.14,0.71,150.54,12.34,0.71
lttbsc0r2_sp12,connected,37,102.62,0.67,0.47,20.11,14.14,0.53
lttbsc0r2_sp13,Lamonte,48.36,99.38,0,0,0,3.64,0.73
lttbsc0r2_sp14,Lamonte,51.65,90.62,0,0,0,2.25,0.59
lttbsc0r2_sp15,Lamonte,43.36,73.77,0,0,0,11.02,0.7
lttbsc0r2_sp16,connected,50.56,73.13,0.65,0.52,90,5.22,0.72
lttbsc0r2_sp17,connected,51.43,68.56,1.37,0.62,0,1.53,0.7
lttbsc0r2_sp18,Lamonte,49.11,74.51,0,0,0,3.41,0.67
lttbsc0r2_sp19,connected,44.39,84.38,1.04,0.61,0,6.7,0.7
lttbsc0r2_sp2,Lamonte,37.79,125.24,0,0,0,3.68,0.65
lttbsc0r2_sp20,connected,45.85,79.39,1.19,0.78,29.72,4.46,1.06
lttbsc0r2_sp21,Lamonte,35.83,81.11,0,0,0,2.9,0.62
lttbsc0r2_sp22,connected,35.85,73.73,0.68,0.45,67.51,5.63,0.49
lttbsc0r2_sp23,connected,46.13,76.04,0.72,0.29,90,4.1,0.41
lttbsc0r2_sp24,Lamonte,37.09,84.46,0,0,0,5.53,0.74
lttbsc0r2_sp25,Lamonte,36.68,87.14,0,0,0,4.81,0.65
lttbsc0r2_sp26,Lamonte,33.44,91.61,0,0,0,4,0.54
lttbsc0r2_sp27,Lamonte,35.19,90.91,0,0,0,3.07,0.63
lttbsc0r2_sp28,isolated,42.81,88.16,0.97,0.58,64.87,0,0
lttbsc0r2_sp29,isolated,34.53,87.2,1.05,0.78,0,0,0
lttbsc0r2_sp3,connected,35.52,122.05,1.08,1.05,0,13.15,0.84
lttbsc0r2_sp30,Lamonte,35.7,93.56,0,0,0,8.51,0.82
lttbsc0r2_sp31,connected,27.65,93.27,0.82,0.38,90,3.53,0.68
lttbsc0r2_sp32,Lamonte,22.12,96.17,0,0,0,16.79,0.76
lttbsc0r2_sp33,connected,28.04,98.79,1.17,0.88,0,7.29,0.62
lttbsc0r2_sp34,Lamonte,30.42,104.23,0,0,0,8.86,0.58
lttbsc0r2_sp35,isolated,24.43,89.45,1.18,0.82,90,0,0
lttbsc0r2_sp36,Lamonte,12.4,101.84,0,0,0,4.68,0.51
lttbsc0r2_sp37,Lamonte,11.76,99.58,0,0,0,3.46,0.51
lttbsc0r2_sp38,Lamonte,10.46,97.66,0,0,0,2.14,0.51
lttbsc0r2_sp39,Lamonte,1.02,98.92,0,0,0,8.42,0.57
lttbsc0r2_sp4,connected,45.4,118.16,0.85,0.79,0,3.16,0.84
lttbsc0r2_sp40,Lamonte,3.9,101.58,0,0,0,3.87,0.61
lttbsc0r2_sp41,isolated,16.53,110.65,0.94,0.83,0,0,0
lttbsc0r2_sp42,isolated,28.26,114.29,0.87,0.68,42.66,0,0
lttbsc0r2_sp43,connected,29.18,119.94,0.31,0.29,90,3.38,0.7
lttbsc0r2_sp44,isolated,41.64,107.15,1.02,0.58,90,0,0
lttbsc0r2_sp45,connected,26.33,112.39,1.28,1.14,0,1.83,0.65
lttbsc0r2_sp47,isolated,48.99,76.33,0.58,0.4,117.74,0,0
lttbsc0r2_sp5,Lamonte,49.51,116.28,0,0,0,9.77,0.84
lttbsc0r2_sp6,Lamonte,41.73,109.68,0,0,0,6.16,0.67
lttbsc0r2_sp7,isolated,49.2,131.94,1.03,0.89,28.3,0,0
lttbsc0r2_sp8,Lamonte,42.17,134.64,0,0,0,5.27,0.82
lttbsc0r2_sp9,connected,50.95,129.32,1.08,0.71,0,1.83,0.65
lttbsc1r1_s30,isolated,103.54,163.88,0.84,0.51,90,0,0
lttbsc1r1_sp1,isolated,111.63,206.7,0.88,0.62,0,0,0
lttbsc1r1_sp10,connected,112.57,146.35,0.86,0.84,90,3.99,0.83
lttbsc1r1_sp11,Lamonte,109.64,142.65,0,0,0,3,0.63
lttbsc1r1_sp12,Lamonte,107.25,146.15,0,0,0,7.84,1.14
lttbsc1r1_sp13,isolated,114.54,155.91,0.71,0.58,0,0,0
lttbsc1r1_sp14,Lamonte,109.91,169.89,0,0,0,1.21,0.64
lttbsc1r1_sp15,connected,116.68,173.86,0.95,0.69,90,1.9,1.04
lttbsc1r1_sp16,isolated,114.28,182.25,0.93,0.78,90,0,0
lttbsc1r1_sp17,Lamonte,120.15,182.14,0,0,0,3.97,0.65
lttbsc1r1_sp18,isolated,121.3,190.18,1.27,1.03,90,0,0
lttbsc1r1_sp19,connected,94.17,186.01,0.96,0.72,0,3.86,0.88
lttbsc1r1_sp2,isolated,129.37,204.07,0.58,0.5,0,0,0
lttbsc1r1_sp20,isolated,96.67,181.78,1.14,0.64,90,0,0
lttbsc1r1_sp21,Lamonte,101.24,186.05,0,0,0,2.12,0.49
lttbsc1r1_sp22,Lamonte,99.84,181,0,0,0,3.68,0.75
lttbsc1r1_sp23,Lamonte,106.32,186.45,0,0,0,1.98,0.62
lttbsc1r1_sp24,Lamonte,106.3,184.11,0,0,0,2.6,0.63
lttbsc1r1_sp25,Lamonte,106.77,179.69,0,0,0,9.06,0.55
lttbsc1r1_sp26,isolated,99.93,171.8,1.02,0.89,90,0,0
lttbsc1r1_sp27,isolated,97.18,169.82,0.88,0.64,0,0,0
lttbsc1r1_sp28,Lamonte,99.68,167.35,0,0,0,1.61,0.38
lttbsc1r1_sp29,connected,93.61,162.69,0.54,0.52,0,5.68,0.61
